volts,amps
0.356,0.647e-6
0.360,0.718e-6
0.366,0.806e-6
0.373,0.917e-6
0.380,1.067e-6
0.390,1.277e-6
0.401,1.583e-6
0.416,2.11e-6
0.436,3.12e-6
0.456,4.62e-6
0.476,6.97e-6
0.496,10.26e-6
0.518,15.60e-6
0.548,30.0e-6
0.566,42.2e-6
0.586,61.0e-6
0.615,102.2e-6
0.634,144.7e-6
0.647,181.5e-6
0.674,320e-6
0.686,418e-6
0.700,583e-6
0.713,803e-6
0.725,1.083e-3
0.739,1.579e-3
0.747,2.06e-3
0.755,2.58e-3
0.761,3.20e-3
0.769,4.10e-3
0.776,5.12e-3
0.782,6.40e-3
0.789,8.05e-3
0.797,10.50e-3
0.805,13.70e-3
0.812,17.15e-3
0.813,18.36e-3
0.815,19.50e-3
0.818,21.2e-3
0.822,23.7e-3
0.823,25.1e-3
