volts,amps
0.657,0.762e-6
0.670,0.836e-6
0.683,0.926e-6
0.699,1.039e-6
0.716,1.180e-6
0.736,1.373e-6
0.760,1.640e-6
0.789,2.03e-6
0.829,2.70e-6
0.885,3.99e-6
0.944,5.88e-6
1.008,8.82e-6
1.070,12.93e-6
1.141,19.56e-6
1.244,37.4e-6
1.308,52.3e-6
1.381,75.1e-6
1.488,124.9e-6
1.564,175.7e-6
1.684,292e-6
1.751,383e-6
1.817,496e-6
1.904,686e-6
1.990,938e-6
2.07,1.255e-3
2.18,1.810e-3
2.26,2.34e-3
2.33,2.92e-3
2.40,3.59e-3
2.48,4.57e-3
2.56,5.66e-3
2.64,7.03e-3
2.72,8.77e-3
2.82,11.33e-3
2.92,14.63e-3
3.01,18.21e-3
